doc_font_median,errors,garbled_hint,language,line_merges,logical_lines,marker_rejected_table,median_line_height,mode,pages,pdf_path,prefix_dropped,prefix_fixed,raw_lines,removed_decor,removed_header_footer,removed_page_num,strong_marker_ratio,strong_markers,toc_pages,type_heading,type_list-item,type_other,type_paragraph,type_title,unit_drafts,units,valid,weak_marker_ratio,weak_markers
9.704,,False,zh,65,1191,0,11.159,marker_stack_tree,35,D:\code\Github\SLAC-test\SLAC\data\zh\GB+4387-2008.pdf,0,0,1394,0,35,138,0.879845,227,,81,,1,176,1,258,259,True,0.0,0
9.704,,True,en,188,1997,0,9.704,weak_fallback,27,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+12758-2023.pdf,0,0,2184,0,26,0,0.0,0,,10,,1,16,1,27,28,True,0.0,0
14.958,,False,en,44,489,0,20.726,marker_stack_tree,13,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+12817-2021.pdf,0,0,587,0,13,54,0.550633,87,,63,,41,54,1,158,159,True,0.0,0
9.704,,False,zh,406,4938,0,22.96,marker_stack_tree,55,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+13317-2024.pdf,0,0,6602,0,50,1258,0.166667,10,2,13,,2,45,1,60,61,True,0.0,0
19.737,,False,zh,36,318,0,21.545,marker_stack_tree,12,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+15566.3-2020.pdf,0,0,380,0,12,26,0.936,117,,71,,1,53,1,125,126,True,0.0,0
19.815,,False,zh,22,2362,0,20.212,marker_stack_tree,37,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+16566-2018.pdf,0,0,2437,0,37,53,0.921053,245,,228,,1,37,1,266,267,True,0.0,0
9.704,,True,en,123,1048,0,10.189,weak_fallback,15,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+22486-2022.pdf,0,0,1170,0,14,0,0.0,0,0,7,,2,7,,15,16,True,0.0,0
9.704,,False,en,67,392,0,11.159,weak_fallback,9,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25334.1-2023.pdf,0,0,466,0,16,0,0.0,0,,4,,1,5,,9,10,True,0.0,0
9.704,,False,en,56,419,0,10.189,weak_fallback,8,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25334.2-2023.pdf,0,0,481,0,14,0,0.0,0,,5,,1,3,,8,9,True,0.0,0
14.327,,False,en,24,426,0,20.698,marker_stack_tree,12,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25338.1-2019.pdf,0,0,510,0,12,60,0.71134,69,,68,,10,19,1,97,98,True,0.0,0
19.675,,False,zh,4,262,0,22.03,marker_stack_tree,10,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25341.1-2019.pdf,0,0,296,0,10,30,0.892857,75,0,50,,2,32,1,84,85,True,0.0,0
8.325,,False,zh,84,757,0,12.962,marker_stack_tree,27,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25341.3-2024.pdf,0,0,866,1,22,24,0.822917,79,,56,,1,39,1,96,97,True,0.0,0
17.181,,False,zh,19,543,0,18.313,marker_stack_tree,14,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+28426-2021.pdf,0,0,596,0,14,34,0.890756,106,,63,,1,55,1,119,120,True,0.0,0
14.528,,False,en,21,576,0,21.212,marker_stack_tree,17,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+32383-2020.pdf,0,0,656,0,17,59,0.551852,149,0,151,,68,51,1,270,271,True,0.0,0
19.965,,False,zh,3,1439,0,20.212,marker_stack_tree,24,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+36505-2018.pdf,0,0,1470,0,24,28,0.466667,21,,35,,1,9,1,45,46,True,0.0,0
