errors,language,merged_lines,mode,pages,prefix_dropped,prefix_fixed,stitched_marker_fragments,strong_marker_ratio,strong_marker_starts,txt_path,units,valid,weak_marker_ratio,weak_marker_starts
,zh,7148,marker_stack_tree,1,61,0,1,0.985526,749,D:\code\Github\SLAC-test\SLAC\data\extracted_text\城市轨道交通直线电机牵引系统设计规范(附条文说明).txt,761,True,0.013158,10
,zh,7170,marker_stack_tree,1,0,0,0,0.835616,61,D:\code\Github\SLAC-test\SLAC\data\extracted_text\城市轨道交通设施设备分类与代码.txt,74,True,0.150685,11
,zh,158,marker_stack_tree,1,1,0,0,0.769231,10,D:\code\Github\SLAC-test\SLAC\data\extracted_text\城市轨道交通试运营基本条件.txt,14,True,0.153846,2
,en,520,marker_stack_tree,1,0,0,0,0.765363,137,D:\code\Github\SLAC-test\SLAC\data\extracted_text\城市轨道交通运营管理规范.txt,180,True,0.22905,41
,en,457,marker_stack_tree,1,12,0,0,0.956044,87,D:\code\Github\SLAC-test\SLAC\data\extracted_text\城际铁路站台门系统.txt,92,True,0.032967,3
,zh,8096,marker_stack_tree,1,83,0,0,0.941121,1007,D:\code\Github\SLAC-test\SLAC\data\extracted_text\城际铁路设计规范(附条文说明).txt,1071,True,0.057944,62
,zh,971,marker_stack_tree,1,0,0,0,0.992188,127,D:\code\Github\SLAC-test\SLAC\data\extracted_text\市域快速轨道交通设计标准.txt,129,True,0.0,0
,zh,1656,marker_stack_tree,1,7,0,0,0.953271,204,D:\code\Github\SLAC-test\SLAC\data\extracted_text\改建铁路工程测量规范(附条文说明).txt,215,True,0.042056,9
,zh,635,marker_stack_tree,1,3,0,0,0.769663,137,D:\code\Github\SLAC-test\SLAC\data\extracted_text\标准轨距铁路道岔.txt,179,True,0.224719,40
,zh,138,marker_stack_tree,1,0,0,0,0.966667,29,D:\code\Github\SLAC-test\SLAC\data\extracted_text\浮置板轨道技术规范.txt,31,True,0.0,0
,zh,1871,marker_stack_tree,1,6,0,0,0.917647,156,D:\code\Github\SLAC-test\SLAC\data\extracted_text\磁浮铁路技术标准(试行)(附条文说明).txt,171,True,0.076471,13
,zh,2309,marker_stack_tree,1,5,0,0,0.954397,293,D:\code\Github\SLAC-test\SLAC\data\extracted_text\绿色铁路客站评价标准(附条文说明).txt,308,True,0.042345,13
,zh,69,marker_stack_tree,1,0,0,0,0.8,4,D:\code\Github\SLAC-test\SLAC\data\extracted_text\苏州市轨道交通条例_20221012.txt,6,True,0.0,0
,zh,78,marker_stack_tree,1,0,0,0,0.875,7,D:\code\Github\SLAC-test\SLAC\data\extracted_text\重庆市轨道交通条例_20250326.txt,9,True,0.0,0
,zh,5459,marker_stack_tree,1,48,0,0,0.935728,495,D:\code\Github\SLAC-test\SLAC\data\extracted_text\重载铁路设计规范(附条文说明).txt,530,True,0.062382,33
,zh,1861,marker_stack_tree,1,9,0,0,0.914286,288,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路专用线设计规范(试行)(附条文说明).txt,316,True,0.08254,26
,zh,5,marker_stack_tree,1,0,0,0,0.333333,2,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路交通事故应急救援和调查处理条例_20121109.txt,7,True,0.5,3
,zh,317,marker_stack_tree,1,4,0,0,0.863636,19,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路信号安全数据网.txt,23,True,0.090909,2
,zh,4551,marker_stack_tree,1,5,0,0,0.978903,232,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路信号工程施工质量验收标准(附条文说明).txt,238,True,0.016878,4
,en,561,marker_stack_tree,1,1,0,0,0.594595,22,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路信号电源系统设备 第1部分_通用要求.txt,38,True,0.378378,14
,zh,812,marker_stack_tree,1,0,0,0,0.8,48,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路信号符号.txt,61,True,0.183333,11
,en,215,marker_stack_tree,1,0,0,0,0.85,17,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路后张法预应力混凝土梁管道压浆技术条件.txt,21,True,0.1,2
,zh,1112,marker_stack_tree,1,10,0,0,0.989796,194,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路声屏障工程施工质量验收标准(附条文说明).txt,197,True,0.005102,1
,zh,2077,marker_stack_tree,1,2,0,0,0.857143,54,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路天然建筑材料工程地质勘察规程(附条文说明).txt,64,True,0.126984,8
,zh,22,marker_stack_tree,1,0,0,0,0.178571,5,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路安全管理条例_20130817.txt,29,True,0.785714,22
,zh,3622,marker_stack_tree,1,52,0,0,0.947262,467,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路工程制图标准.txt,494,True,0.05071,25
,zh,1429,marker_stack_tree,1,4,0,0,0.869565,20,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路工程卫星定位测量规范(附条文说明).txt,24,True,0.086957,2
,zh,5600,marker_stack_tree,1,66,0,0,0.861878,624,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路工程地质原位测试规程(附条文说明).txt,725,True,0.13674,99
,zh,4103,marker_stack_tree,1,13,0,0,0.953878,455,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路工程地质钻探规程(附条文说明).txt,478,True,0.044025,21
,zh,3338,marker_stack_tree,1,0,0,0,0.814815,66,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路工程基本术语标准.txt,82,True,0.17284,14
,zh,584,marker_stack_tree,1,4,0,0,0.90625,58,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路工程环境保护设计规范(附条文说明).txt,65,True,0.078125,5
,zh,1341,marker_stack_tree,1,1,0,0,0.968421,92,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路房屋建筑设计标准(附条文说明).txt,96,True,0.021053,2
,zh,562,marker_stack_tree,1,1,0,0,0.958333,115,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路数字移动通信系统(GSM-R)设计规范(附条文说明).txt,121,True,0.033333,4
,zh,1218,marker_stack_tree,1,3,0,0,0.985507,136,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路旅客车站建筑设计规范(2011年版).txt,139,True,0.007246,1
,zh,1378,marker_stack_tree,1,12,0,0,0.987342,156,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路旅客车站设计规范（附条文说明））(附2022年局部修订).txt,159,True,0.006329,1
,zh,699,marker_stack_tree,1,0,0,0,0.8,20,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路桥梁钢支座.txt,26,True,0.16,4
