pdf_path,pages,scanned_pages,ocr_pages,pdftotext_pages,garbled_pages,garbled_ratio,skipped_image_only_pages,dropped_noise_spans_total,ocr_backend,ocr_available
D:\code\Github\SLAC-test\SLAC\data\zh\地铁快线设计标准(附条文说明).pdf,164,164,4,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\地铁设计规范.pdf,321,321,161,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\地铁限界标准(附条文说明).pdf,133,133,132,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通工程基本术语标准.pdf,100,100,100,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通技术规范.pdf,79,79,6,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通直线电机牵引系统设计规范(附条文说明).pdf,400,400,400,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通设施设备分类与代码.pdf,156,156,155,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通试运营基本条件.pdf,14,14,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通运营管理规范.pdf,26,26,25,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\城际铁路站台门系统.pdf,24,24,22,0,0,0.0,2,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\城际铁路设计规范(附条文说明).pdf,510,510,501,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\市域快速轨道交通设计标准.pdf,84,84,4,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\改建铁路工程测量规范(附条文说明).pdf,97,97,97,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\标准轨距铁路道岔.pdf,28,28,28,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\浮置板轨道技术规范.pdf,66,66,4,0,4,0.060606,2,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\磁浮铁路技术标准(试行)(附条文说明).pdf,172,172,1,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\绿色铁路客站评价标准(附条文说明).pdf,139,139,139,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\苏州市轨道交通条例_20221012.pdf,24,24,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\重庆市轨道交通条例_20250326.pdf,23,23,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\重载铁路设计规范(附条文说明).pdf,283,283,282,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路专用线设计规范(试行)(附条文说明).pdf,135,135,135,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路交通事故应急救援和调查处理条例_20121109.pdf,12,12,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路信号安全数据网.pdf,17,17,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路信号工程施工质量验收标准(附条文说明).pdf,349,349,2,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路信号电源系统设备 第1部分_通用要求.pdf,36,36,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路信号符号.pdf,45,45,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路后张法预应力混凝土梁管道压浆技术条件.pdf,16,16,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路声屏障工程施工质量验收标准(附条文说明).pdf,73,73,73,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路天然建筑材料工程地质勘察规程(附条文说明).pdf,70,70,70,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路安全管理条例_20130817.pdf,31,31,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程制图标准.pdf,207,207,205,0,0,0.0,2,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程卫星定位测量规范(附条文说明).pdf,88,88,3,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程地质原位测试规程(附条文说明).pdf,303,303,302,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程地质钻探规程(附条文说明).pdf,169,169,169,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程基本术语标准.pdf,238,238,235,0,0,0.0,3,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程环境保护设计规范(附条文说明).pdf,43,43,43,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路房屋建筑设计标准(附条文说明).pdf,72,72,1,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路数字移动通信系统(GSM-R)设计规范(附条文说明).pdf,82,82,3,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路旅客车站建筑设计规范(2011年版).pdf,84,84,82,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路旅客车站设计规范（附条文说明））(附2022年局部修订).pdf,118,118,1,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路桥梁钢支座.pdf,27,27,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路桥梁钢结构设计规范(附条文说明).pdf,144,144,143,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路混凝土结构耐久性设计规范(附条文说明).pdf,44,44,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路照明设计规范(附条文说明).pdf,82,82,1,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路电力工程施工质量验收标准(附条文说明).pdf,195,195,3,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路电力设计规范(附条文说明).pdf,131,131,2,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路线路设计规范(附条文说明).pdf,420,420,2,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路路基支挡结构设计规范.pdf,136,136,136,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路路基病害分类.pdf,12,12,12,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路轨道工程施工安全技术规程(附条文说明).pdf,130,130,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路轨道设计规范(附条文说明) (1).pdf,167,167,167,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路轨道设计规范(附条文说明).pdf,167,167,167,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路轨道设计规范（极限状态法）.pdf,296,296,1,0,1,0.003378,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路通信设计规范(附条文说明).pdf,178,178,178,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路道岔转换设备 道岔外锁闭装置.pdf,16,16,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路防雷及接地工程技术规范(附条文说明).pdf,72,72,72,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路隧道设计规范(附条文说明).pdf,334,334,329,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁路隧道运营通风设计规范(附条文说明).pdf,70,70,70,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\铁道客车及动车组空调装置运用试验方法.pdf,20,20,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\长沙市轨道交通条例_20221021.pdf,27,27,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路岔区轨枕埋入式无砟轨道混凝土岔枕.pdf,11,11,4,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路工程测量规范(附条文说明).pdf,81,81,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路无砟轨道不平顺谱.pdf,16,16,15,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路桥涵工程施工质量验收标准(附条文说明).pdf,215,215,214,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路电力工程施工质量验收标准(附条文说明).pdf,188,188,187,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路箱梁运梁车.pdf,13,13,13,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路设计规范.pdf,263,263,262,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路路基工程施工质量验收标准(附条文说明).pdf,316,316,314,0,0,0.0,2,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路轨道工程施工质量验收标准(附条文说明).pdf,192,192,191,0,0,0.0,1,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路隧道工程施工质量验收标准(附条文说明).pdf,118,118,115,0,0,0.0,3,0,tesseract,True
